Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
       73       8.53619                    9s	          1.5475e-06	         1.47921e-06	         1.43189e-06	         2.23121e-06	         7.36735e-07	         7.36444e-07
       74       9.24079                    9s	         1.55644e-06	         1.48719e-06	          1.4358e-06	         2.24028e-06	         7.39913e-07	         7.39063e-07
       75       9.99275                   10s	         1.56391e-06	         1.49366e-06	          1.4416e-06	         2.24639e-06	         7.42579e-07	          7.4233e-07
       76       10.7946                   11s	         1.56823e-06	         1.49732e-06	         1.44716e-06	         2.25699e-06	         7.44452e-07	         7.44773e-07
       77       11.6488                   12s	         1.57351e-06	         1.49936e-06	         1.45193e-06	         2.26456e-06	           7.474e-07	         7.47568e-07
       78       12.5581                   13s	         1.58067e-06	         1.50755e-06	         1.45691e-06	         2.27371e-06	         7.50944e-07	         7.49764e-07
       79       13.5253                   14s	         1.58621e-06	         1.51572e-06	         1.46123e-06	         2.28344e-06	         7.52873e-07	         7.52957e-07
       80       14.5532                   15s	         1.59221e-06	          1.5203e-06	         1.46688e-06	         2.29206e-06	         7.55882e-07	         7.56542e-07
       81       15.6448                   16s	         1.59726e-06	         1.52571e-06	         1.46978e-06	         2.30044e-06	         7.57865e-07	         7.58292e-07
       82       16.8032                   17s	          1.6071e-06	         1.53452e-06	         1.47598e-06	         2.31035e-06	           7.616e-07	         7.62155e-07
       83       18.0315                   18s	         1.61072e-06	         1.53734e-06	          1.4829e-06	         2.31953e-06	         7.63566e-07	         7.64781e-07
       84       19.3331                   19s	         1.61484e-06	          1.5446e-06	         1.48748e-06	         2.32965e-06	         7.67259e-07	         7.67782e-07
       85       20.7113                   21s	         1.62613e-06	         1.55278e-06	         1.49522e-06	         2.33883e-06	         7.70594e-07	         7.69846e-07
       86       22.1698                   22s	         1.62986e-06	         1.55852e-06	         1.49958e-06	          2.3481e-06	         7.73376e-07	         7.73009e-07
       87        23.712                   24s	         1.63834e-06	         1.56445e-06	         1.50461e-06	         2.35831e-06	         7.77431e-07	         7.76352e-07
       88       25.3418                   25s	         1.64569e-06	         1.56915e-06	         1.51071e-06	          2.3675e-06	         7.79956e-07	         7.80072e-07
       89       27.0631                   27s	         1.65418e-06	         1.57853e-06	         1.51649e-06	         2.37888e-06	         7.82757e-07	         7.82777e-07
       90       28.8799                   29s	         1.65726e-06	         1.58499e-06	         1.52262e-06	         2.38673e-06	         7.85151e-07	         7.85678e-07
       91       30.7962                   31s	         1.66571e-06	          1.5893e-06	         1.52918e-06	         2.39718e-06	         7.88847e-07	         7.88661e-07
       92       32.8164                   33s	         1.67123e-06	         1.59543e-06	         1.53251e-06	         2.40625e-06	         7.92534e-07	         7.92102e-07
       93       34.9448                   35s	         1.67622e-06	         1.60258e-06	         1.53877e-06	         2.41565e-06	         7.95158e-07	          7.9486e-07
       94        37.186                   37s	         1.68623e-06	         1.61057e-06	         1.54592e-06	         2.42508e-06	         7.98216e-07	          7.9825e-07
       95       39.5446                   40s	          1.6914e-06	         1.61727e-06	         1.55064e-06	         2.43554e-06	         8.00563e-07	         8.01112e-07
       96       42.0255                   42s	         1.69688e-06	         1.62184e-06	         1.55698e-06	         2.44539e-06	          8.0439e-07	         8.03441e-07
       97       44.6336                   45s	         1.70516e-06	          1.6273e-06	         1.56308e-06	         2.45306e-06	         8.06272e-07	         8.06717e-07
       98        47.374                   47s	         1.71268e-06	         1.63381e-06	         1.56875e-06	         2.46361e-06	         8.09313e-07	          8.0886e-07
       99       50.2519                   50s	         1.71498e-06	         1.64118e-06	         1.57477e-06	         2.47027e-06	         8.11242e-07	         8.12873e-07
      100       53.2727                   53s	         1.72229e-06	         1.64436e-06	         1.57747e-06	         2.47983e-06	         8.15267e-07	         8.14391e-07
      101        56.442                   56s	         1.72836e-06	         1.65037e-06	         1.58301e-06	          2.4884e-06	         8.18518e-07	         8.16943e-07
      102       59.7655                   60s	         1.73131e-06	         1.65323e-06	         1.58683e-06	         2.49574e-06	         8.19625e-07	         8.20025e-07
      103        63.249              01min03s	         1.74003e-06	          1.6614e-06	         1.59359e-06	         2.50444e-06	         8.23045e-07	         8.23403e-07
      104       66.8985              01min07s	         1.74826e-06	         1.66584e-06	         1.59562e-06	         2.50977e-06	         8.24449e-07	         8.25059e-07
      105       70.7203              01min11s	         1.75121e-06	         1.67201e-06	         1.60123e-06	         2.51959e-06	         8.26689e-07	         8.28056e-07
      106       74.7207              01min15s	         1.75318e-06	         1.67559e-06	         1.60569e-06	         2.52515e-06	         8.28851e-07	         8.29081e-07
      107       78.9062              01min19s	         1.76113e-06	         1.68039e-06	         1.61125e-06	         2.53513e-06	          8.3148e-07	         8.32631e-07
      108       83.2835              01min23s	          1.7645e-06	         1.68591e-06	         1.61313e-06	         2.53945e-06	         8.34854e-07	         8.32569e-07
      109       87.8596              01min28s	         1.76843e-06	         1.68998e-06	          1.6166e-06	         2.54589e-06	         8.35196e-07	         8.35716e-07
      110       92.6413              01min33s	         1.77231e-06	         1.69242e-06	         1.62157e-06	         2.55276e-06	         8.38043e-07	         8.37582e-07
      111       97.6361              01min38s	         1.77826e-06	          1.7008e-06	         1.62554e-06	         2.55867e-06	         8.39973e-07	         8.39182e-07
      112       102.851              01min43s	         1.77905e-06	         1.69826e-06	         1.62779e-06	         2.56346e-06	         8.42031e-07	         8.41408e-07
      113       108.294              01min48s	         1.78393e-06	         1.70611e-06	          1.6357e-06	         2.57127e-06	         8.42518e-07	         8.42789e-07
      114       113.973              01min54s	         1.78865e-06	         1.70967e-06	         1.63458e-06	          2.5748e-06	         8.44886e-07	         8.45294e-07
      115       119.896              02min---	         1.79316e-06	         1.71383e-06	         1.64031e-06	         2.58025e-06	         8.46505e-07	         8.46029e-07
      116       126.071              02min06s	          1.7987e-06	          1.7182e-06	         1.64392e-06	         2.58571e-06	         8.48754e-07	         8.48161e-07
