Iteration       Time[s]                  Time	Facet--------------0	Facet--------------1	Facet--------------2	Facet--------------3	Facet--------------4	Facet--------------5
       65       14.6029                   15s	          1.7397e-06	         1.66344e-06	         1.59538e-06	         2.50898e-06	          8.2382e-07	         8.24416e-07
       66       19.0631                   19s	         1.76591e-06	         1.68561e-06	         1.61043e-06	            2.54e-06	         8.34269e-07	         8.34967e-07
       67       24.4429                   24s	         1.78288e-06	         1.70184e-06	         1.63344e-06	         2.56798e-06	         8.41391e-07	         8.40998e-07
       68       30.8392                   31s	          1.7934e-06	          1.7157e-06	         1.63888e-06	         2.58851e-06	          8.5006e-07	         8.49817e-07
       69       38.3506                   38s	         1.80365e-06	          1.7256e-06	         1.65077e-06	         2.60296e-06	         8.54616e-07	         8.53127e-07
       70       47.0775                   47s	         1.81876e-06	         1.73649e-06	          1.6613e-06	         2.61751e-06	         8.58037e-07	         8.59847e-07
       71       57.1219                   57s	         1.82792e-06	         1.74117e-06	         1.66906e-06	         2.62938e-06	         8.63864e-07	         8.60267e-07
       72       68.5876              01min09s	         1.83294e-06	         1.75265e-06	         1.67261e-06	         2.64089e-06	         8.66762e-07	         8.63705e-07
       73       81.5799              01min22s	          1.8391e-06	         1.75627e-06	          1.6795e-06	         2.64777e-06	         8.67602e-07	         8.68223e-07
       74       96.2054              01min36s	         1.84358e-06	         1.75916e-06	         1.68276e-06	         2.65624e-06	         8.70006e-07	         8.71787e-07
       75       112.572              01min53s	         1.84931e-06	         1.76794e-06	         1.68662e-06	         2.66308e-06	         8.72629e-07	         8.70632e-07
       76        130.79              02min11s	         1.84775e-06	         1.76448e-06	         1.69094e-06	         2.66366e-06	         8.72981e-07	         8.73401e-07
       77        150.97              02min31s	         1.85097e-06	         1.76888e-06	         1.69046e-06	         2.66945e-06	         8.76673e-07	         8.73768e-07
       78       173.223              02min53s	         1.85415e-06	         1.77524e-06	          1.6961e-06	         2.67553e-06	         8.75039e-07	         8.75213e-07
       79       197.663              03min18s	         1.85926e-06	         1.77218e-06	         1.69517e-06	         2.67341e-06	         8.77421e-07	         8.74467e-07
       80       224.405              03min44s	         1.86678e-06	         1.77902e-06	         1.70437e-06	         2.68224e-06	         8.79178e-07	         8.77665e-07
       81       253.564              04min14s	          1.8648e-06	         1.78021e-06	         1.69649e-06	         2.68145e-06	          8.7897e-07	         8.78414e-07
       82       285.258              04min45s	         1.86193e-06	          1.7799e-06	         1.69872e-06	         2.68046e-06	         8.79346e-07	         8.78864e-07
       83       319.603              05min20s	         1.86306e-06	         1.78138e-06	         1.69818e-06	         2.68112e-06	         8.76631e-07	          8.7976e-07
       84       356.718              05min57s	         1.87064e-06	         1.78733e-06	         1.70659e-06	         2.68816e-06	           8.814e-07	          8.7897e-07
       85       396.725              06min37s	         1.86452e-06	         1.78157e-06	         1.70185e-06	         2.68651e-06	         8.79346e-07	         8.80408e-07
       86       439.742              07min20s	          1.8695e-06	         1.78831e-06	         1.70784e-06	         2.69093e-06	         8.81247e-07	         8.82661e-07
       87       444.358              07min24s	         1.76846e-06	         1.68853e-06	          1.6153e-06	          2.5425e-06	         8.36041e-07	         8.34085e-07
       88       449.017              07min29s	         1.77095e-06	         1.68955e-06	         1.62082e-06	         2.55074e-06	         8.37294e-07	         8.38782e-07
       89       458.952              07min39s	         1.82916e-06	         1.74479e-06	         1.67092e-06	         2.63014e-06	         8.61953e-07	         8.63092e-07
       90       475.371              07min55s	         1.84161e-06	         1.76221e-06	         1.68533e-06	         2.65901e-06	          8.7251e-07	         8.70868e-07
       91       499.283              08min19s	         1.85868e-06	         1.77674e-06	         1.69795e-06	         2.67585e-06	         8.75575e-07	         8.76979e-07
       92       531.577              08min52s	         1.86052e-06	         1.78047e-06	         1.69654e-06	         2.68114e-06	         8.78108e-07	         8.77474e-07
       93       573.056              09min33s	         1.87151e-06	         1.78857e-06	         1.70449e-06	         2.68879e-06	         8.82416e-07	         8.80447e-07
